Date,Close,High,Low,Open,Volume
,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2015-01-02,2.494490146636963,2.6623885585489684,2.4918252861248287,2.6623885585489684,49559500
2015-01-05,2.2812857627868652,2.4491838989517785,2.2732904198005044,2.435858835626427,78385100
2015-01-06,2.2066640853881836,2.353242069324393,2.142702866486333,2.321261459873468,84723300
2015-01-07,2.310600757598877,2.326590931790578,2.2279840104109696,2.281285268807935,85531000
2015-01-08,2.459843397140503,2.502484451702709,2.329255882366549,2.3425811960322873,83306300
2015-01-09,2.5344650745391846,2.5344650745391846,2.3798920446244183,2.451848332404427,50813100
2015-01-12,2.3559067249298096,2.5531205718903704,2.342581410046692,2.470504077101679,58728900
2015-01-13,2.4225337505340576,2.502485408952342,2.358572525463156,2.371897590066774,65834800
2015-01-14,2.3745617866516113,2.387887100263012,2.302605499804796,2.366566700148458,55736500
2015-01-15,2.4811646938323975,2.5024850995533803,2.3639022082077075,2.398547931044126,80907800
2015-01-16,2.515810012817383,2.5664461640113,2.462509001686367,2.5211402410101194,56978300
2015-01-19,2.4438538551330566,2.5424607950675426,2.438523626626676,2.4918248950533464,30873100
2015-01-20,2.4811646938323975,2.6250775595286737,2.4385236282311475,2.558451228110781,72842900
2015-01-21,2.6384024620056152,2.643732690191295,2.483829402850659,2.5184751235797727,48003500
2015-01-22,2.726348400115967,2.787644735610698,2.6570572329886635,2.6917029436319124,74782400
2015-01-23,2.6597228050231934,2.7743201667768473,2.633072427187893,2.6943685249524205,43659400
2015-01-26,2.6197474002838135,2.657058238361658,2.574441473389034,2.6090871971414704,33202100
2015-01-27,2.7023637294769287,2.7636598241210515,2.5397953400726463,2.590431487452726,58750400
2015-01-28,2.4278628826141357,2.5424602283652784,2.3852220807046582,2.513144740592319,106337900
2015-01-29,2.310600757598877,2.419867879826031,2.222654037066815,2.411872792730181,111506300
2015-01-30,2.211993455886841,2.2226536549014613,2.153362234226833,2.185342831270694,87497200
2015-02-02,2.3425815105438232,2.3425815105438232,2.166688058186695,2.254634784365259,57585100
2015-02-03,2.657057046890259,2.6650521321220557,2.4012120320401746,2.4012120320401746,98061700
2015-02-04,2.6703832149505615,2.8729270488000167,2.5477907673831037,2.7450046274214133,117595000
2015-02-05,2.6197474002838135,2.7423398635004,2.5851016765313766,2.6277424891007475,78992700
2015-02-06,2.430527925491333,2.614416696069773,2.3639016109082616,2.611751582488237,117747100
2015-02-09,2.5051493644714355,2.523804905664544,2.3239259588984433,2.3452463595540896,72534200
2015-02-10,2.3745617866516113,2.6117515556250472,2.369231813702582,2.4571785277149214,75478700
2015-02-11,2.4198672771453857,2.449182758635153,2.347911002885348,2.3825564563918125,48681100
2015-02-12,2.518474817276001,2.5424603328758395,2.4705040402355616,2.4918244420666986,61706000
2015-02-13,2.6730480194091797,2.6917035627599213,2.574441091432488,2.5797713192924867,72282500
2015-02-18,2.675713300704956,2.7556649444911328,2.6677182125741195,2.707693907387573,42896700
2015-02-19,2.5877671241760254,2.6570585806060354,2.5717766903232064,2.654393465937345,38492400
2015-02-20,2.569110870361328,2.6384020467547376,2.53979512827255,2.6170816456861146,35272700
2015-02-23,2.5318002700805664,2.555785786988915,2.5024847795032796,2.545125585491788,41168500
2015-02-24,2.6384024620056152,2.6384024620056152,2.555785958401726,2.5717761346402286,48578000
2015-02-25,2.5051493644714355,2.5051493644714355,2.398547361193205,2.4251979890923745,96303900
2015-02-26,2.459843397140503,2.5371301655699408,2.4411881105040005,2.5051493111084815,44179900
2015-02-27,2.545125961303711,2.569111481753749,2.425198613212811,2.4784996285688456,46969600
2015-03-02,2.510479688644409,2.5877662075449592,2.4705039994114197,2.5158096619344983,38009000
2015-03-03,2.55045485496521,2.6117511872688532,2.5371297973923665,2.5824354506265617,42133600
2015-03-04,2.4705042839050293,2.5184750656768973,2.4545138538748983,2.5078148637098976,48308500
2015-03-05,2.4625086784362793,2.499819508409884,2.441188276782572,2.4811642205026994,52913800
2015-03-06,2.4651741981506348,2.4918248316862446,2.4438537929858577,2.45184888138283,27181900
2015-03-09,2.377227544784546,2.4465189910246434,2.3718973162310215,2.433193673800119,37625700
2015-03-10,2.270625591278076,2.3932178021994184,2.267960476912144,2.353242103347615,72090500
2015-03-11,2.329256057739258,2.3532415733116436,2.2866152541257887,2.3106007696981745,44035300
2015-03-12,2.2572999000549316,2.4198680370845316,2.2493045582802567,2.3905525463884816,63029900
2015-03-13,2.222654104232788,2.2359794192347047,2.1746830718895858,2.198668588061187,72933500
2015-03-16,2.2359797954559326,2.2652952900653167,2.1826785264799073,2.262630175784658,53380500
2015-03-17,2.361237049102783,2.3798925943737577,2.217324186140027,2.225319528752993,63896300
2015-03-18,2.4518487453460693,2.4758342633654657,2.3106010054265,2.358572041465293,65324600
2015-03-19,2.377227544784546,2.4598440540898814,2.3585722531657836,2.4465189910246434,42857200
2015-03-20,2.457179307937622,2.4918250326645572,2.3878878584837526,2.419868468810316,65339300
2015-03-23,2.486494541168213,2.515810033997253,2.4518488201015627,2.4784994529710693,34124600
2015-03-24,2.510479688644409,2.51847477565916,2.4571786849473454,2.497154374180335,36392400
2015-03-25,2.6117513179779053,2.6357368294641055,2.539794783519304,2.5717753807811734,84659600
2015-03-26,2.486494541168213,2.6543929182638526,2.4811645670898743,2.6437327159479045,58862000
2015-03-27,2.494490146636963,2.5611164884674733,2.4438542386758773,2.4784999669268615,51152500
2015-03-30,2.5877671241760254,2.598427328691464,2.510480577899268,2.5318009869301443,33372200
2015-03-31,2.5744404792785645,2.6437319000268173,2.523804597445114,2.5531200812266706,46908300
2015-04-01,2.7343451976776123,2.763660697314243,2.6304080103415637,2.6463984446083906,59374600
2015-04-02,2.8489420413970947,2.8569373847843864,2.7103593934216597,2.7103593934216597,69001800
2015-04-06,2.854271650314331,2.9288930599379235,2.846276562823044,2.878257166947441,45227600
2015-04-07,2.9102373123168945,2.9208975120112743,2.787644888751926,2.8249557147618587,61721500
2015-04-08,2.8169610500335693,3.0195051469671816,2.795640645531007,2.958209047562132,73904600
2015-04-09,3.0861315727233887,3.0914618010981774,2.819626253806624,2.8516068615775225,79280800
2015-04-10,3.1474273204803467,3.1794079220759075,3.0035144862207077,3.0701408030846,70021600
2015-04-13,3.270021438598633,3.3979439108946448,3.1714142151712577,3.190069766333946,104809600
2015-04-14,3.3206558227539062,3.39527723052387,3.1900682956166597,3.3766219421211896,87127100
2015-04-15,3.5551812648773193,3.5658414682768003,3.323321650319142,3.3846177563263313,103042800
2015-04-16,3.459237575531006,3.552514502628776,3.3366454203818603,3.5311941057194307,109852700
2015-04-17,3.4512431621551514,3.528529679538298,3.3366460699962137,3.3606313305695528,71274400
2015-04-20,3.483224630355835,3.5658413956383264,3.469899566997397,3.5258654430851366,52514600
2015-04-22,3.464569091796875,3.54185562290905,3.3739572441151653,3.51520498976998,65914800
2015-04-23,3.4299228191375732,3.5338599666844934,3.1687477746504036,3.2780148954729635,182613700
2015-04-24,3.523200035095215,3.6724428564423683,3.5072096057283937,3.515204693332178,106143700
2015-04-27,3.336646318435669,3.4965493382934385,3.3339812045648944,3.4512434191272585,53111300
2015-04-28,3.403273344039917,3.429923725781169,3.264690444011926,3.400608229618002,60884300
2015-04-29,3.416597604751587,3.4459133481833195,3.3393110837975244,3.3526363986156538,35821900
2015-04-30,3.4805595874786377,3.50454485276037,3.4112681433511134,3.4192632317783573,48515300
2015-05-04,3.6751084327697754,3.691098864148531,3.544520884120526,3.5471859983768663,55651100
2015-05-05,3.8456714153289795,3.8936421946919326,3.6431273339677315,3.651122421501682,76329800
2015-05-06,3.6751084327697754,3.9842545700452563,3.6164771899267163,3.9309535557148774,72197500
2015-05-07,3.640463352203369,3.7444005391047432,3.552516599501948,3.6777741958970407,44978900
2015-05-08,3.6004867553710938,3.755059812961096,3.560510806861031,3.741734496791075,43687900
2015-05-11,3.6697778701782227,3.6857680448345875,3.5791660332613415,3.6457923540344312,28040500
2015-05-12,3.6591176986694336,3.747064682737743,3.632467320788692,3.651122610721137,30765100
2015-05-13,3.7257437705993652,3.7657197159339235,3.6644476769093197,3.696428280681419,45346800
2015-05-14,3.7044239044189453,3.792370641065143,3.667113321695881,3.7577251725820933,49457700
2015-05-15,3.7417349815368652,3.7630553885072735,3.6271376034514455,3.709754371081252,54224100
2015-05-18,3.651123046875,3.90430306486223,3.6031522592954923,3.901638204667303,82200400
2015-05-19,3.435253143310547,3.621806788077555,3.408602513704157,3.611146587066847,70521100
2015-05-20,3.4219276905059814,3.496549094571564,3.365961573916987,3.400607289344386,43164900
2015-05-21,3.592491388320923,3.6031518445106046,3.4272581297698297,3.4272581297698297,53682900
2015-05-22,3.483224630355835,3.6377977035792006,3.443248931961937,3.6031522338561115,53753700
2015-05-25,3.4192633628845215,3.467234403605915,3.3899478680877184,3.459239060712824,24377600
2015-05-26,3.302000045776367,3.4272573267455133,3.294004705507456,3.411267154526101,44844200
2015-05-27,3.3419759273529053,3.373956527834845,3.2753496128090602,3.3313157271922593,47223300
2015-05-28,3.37129282951355,3.416598762755398,3.304666487000165,3.323322035732255,96419400
2015-05-29,3.2860097885131836,3.4059371029676875,3.2780147019920083,3.3872818163652054,75971600
2015-06-01,3.2940051555633545,3.3712916762746223,3.264689666382956,3.3126606979138256,40498000
2015-06-02,3.4325881004333496,3.451243389047686,3.3233209742763883,3.344641376738271,47041600
2015-06-03,3.408602237701416,3.4912189794641555,3.389946950983051,3.4539081518682058,90062100
2015-06-05,3.349971294403076,3.405937413471924,3.3099956039935745,3.352636408206174,36719100
2015-06-08,3.349971294403076,3.4032725538280673,3.323320918849822,3.3606314954562264,23667600
2015-06-09,3.464569091796875,3.50987501563773,3.3499717251218573,3.3606319275456302,88228800
2015-06-10,3.4858896732330322,3.581831499907224,3.443248861377836,3.5445209166135707,45583600
2015-06-11,3.4912195205688477,3.5018797223686,3.4245931957805813,3.499214608378847,35341600
2015-06-12,3.4698989391326904,3.4752289126797695,3.419262792559589,3.4272578799598303,30067700
2015-06-15,3.467233896255493,3.4885542991987397,3.4379181515890913,3.45657369478387,31713200
2015-06-16,3.565840721130371,3.5924910969654023,3.440583166812069,3.475228884140929,49988000
2015-06-17,3.5018787384033203,3.621806038492922,3.4965485119215134,3.5978205276431643,40920200
2015-06-18,3.5844967365264893,3.5844967365264897,3.5045450844896116,3.539190808844235,26832100
2015-06-19,3.504544734954834,3.5818312649116097,3.4912196727437763,3.547185798171736,36247800
2015-06-22,3.5098748207092285,3.5631758298679084,3.499214618877493,3.5445205402021855,22567300
2015-06-23,3.4565744400024414,3.5791669104359998,3.4512442110378356,3.5365260953563804,48007400
2015-06-24,3.523200035095215,3.557845753590617,3.477894115075016,3.480559228996028,39613200
